"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F9I0","2019-07-25 00:00:00","194.000","206.000","1.900","27.300","0.880","986.900","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","25.100",""
"C0T820","2019-07-25 00:00:00","550.000","0.000","0.000","23.000","0.950","952.800","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","21.900",""
"C0S890","2019-07-25 00:00:00","238.000","280.000","0.300","27.000","0.910","985.600","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","24.200",""
"C0G840","2019-07-25 00:00:00","32.000","126.000","0.300","27.300","0.890","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","25.400",""
"C0V710","2019-07-25 00:00:00","34.000","116.000","1.000","-99.000","-99.000","-99.000","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0X140","2019-07-25 00:00:00","17.000","53.000","0.600","28.900","0.860","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","26.500",""
"C0C680","2019-07-25 00:00:00","228.000","267.000","0.500","26.600","0.880","981.300","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.300",""
"C0D360","2019-07-25 00:00:00","523.000","0.000","0.000","23.100","0.980","950.200","-99.000","0.500","-99.000","-99.000","-99.000","29.600","","21.500",""
"C0C710","2019-07-25 00:00:00","143.000","0.000","0.200","25.100","0.950","992.300","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","23.200",""
"C0Z190","2019-07-25 00:00:00","62.000","300.000","0.800","26.500","0.990","1002.100","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","25.400",""
"C0Z020","2019-07-25 00:00:00","211.000","0.000","0.200","26.700","0.990","985.300","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.400",""
"C0I380","2019-07-25 00:00:00","258.000","0.000","0.000","24.000","0.990","979.900","-99.000","78.500","-99.000","-99.000","-99.000","33.400","","23.000",""
"C0D560","2019-07-25 00:00:00","147.000","178.000","0.300","27.000","0.840","992.400","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","24.700",""
"C0Z220","2019-07-25 00:00:00","589.000","264.000","0.400","23.600","0.990","945.900","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","22.600",""
"C0R220","2019-07-25 00:00:00","23.000","66.000","1.300","27.700","1.000","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.100",""
"C0A870","2019-07-25 00:00:00","685.000","262.000","2.800","23.800","0.920","932.100","-99.000","0.000","-99.000","-99.000","-99.000","28.700","","21.200",""
"C0E590","2019-07-25 00:00:00","40.000","199.000","0.900","27.000","0.920","1003.100","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","24.900",""
"C0D540","2019-07-25 00:00:00","227.000","0.000","0.000","24.400","0.960","984.200","-99.000","0.500","-99.000","-99.000","-99.000","32.400","","22.500",""
"C0K420","2019-07-25 00:00:00","42.000","173.000","0.700","27.800","0.850","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","24.800",""
"C0Z180","2019-07-25 00:00:00","34.000","293.000","0.600","26.800","0.870","1005.500","-99.000","0.500","-99.000","-99.000","-99.000","31.800","","26.000",""
"C0AD10","2019-07-25 00:00:00","27.000","210.000","0.900","28.700","0.800","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.900",""
"C0M720","2019-07-25 00:00:00","225.000","93.000","0.700","25.600","0.860","984.200","-99.000","0.500","-99.000","-99.000","-99.000","32.300","","23.700",""
"C0V450","2019-07-25 00:00:00","51.000","0.000","0.000","26.800","0.990","1003.000","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.800",""
"C0R280","2019-07-25 00:00:00","242.000","0.000","0.100","25.200","-99.000","981.800","-99.000","0.500","-99.000","-99.000","-99.000","30.500","","23.500",""
"C0E610","2019-07-25 00:00:00","850.000","233.000","0.300","22.400","0.880","917.500","-99.000","0.000","-99.000","-99.000","-99.000","28.700","","21.100",""
"C0V610","2019-07-25 00:00:00","22.000","71.000","0.800","29.000","0.830","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.200",""
"C0Z310","2019-07-25 00:00:00","59.000","342.000","1.000","26.200","0.990","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","25.000",""
